config,accuracy,macro_f1
Random Forest (existing v1 approach),0.5774943106958917,0.5230987314259661
Logistic Regression,0.4080129356809199,0.29721415803766527
Linear SVM,0.3885495268894478,0.24068353366544953
Gradient Boosting (HistGB),0.5822853036291772,0.5424192568609322
K-Nearest Neighbors (k=15),0.448796263025512,0.37651050267250186
"RBF SVM (8K-row subsample, not full data)",0.4438256078572284,0.36027316493136186
