label,accuracy,macro_f1
"Trained on REAL, tested on REAL",0.5774943106958917,0.5230987314259661
"Trained on SYNTHETIC (matched), tested on REAL",0.3758533956162415,0.2763778301638958
"Trained on REAL, tested on REAL",0.5822853036291772,0.5424192568609322
"Trained on SYNTHETIC (matched), tested on REAL",0.3599832315247335,0.28808885196517037
